days_since_last_purchase,purchase_frequency,avg_session_duration_min,cart_abandonment_rate,total_spend_usd,num_support_tickets,pages_per_session,discount_usage_rate,email_open_rate,preferred_device,membership_tier,churned
105,3,3.1,0.348,0.91,0,2.1,0.326,0.062,tablet,bronze,1
66,0,9.2,0.613,56.75,1,7.9,0.26,0.563,mobile,gold,1
78,2,2.9,0.604,13.48,5,3.5,0.496,0.166,mobile,bronze,1
3,0,10.3,0.786,71.32,0,4.4,0.595,0.579,mobile,silver,1
28,8,23.8,0.354,738.99,1,14.8,0.103,0.798,tablet,platinum,0
50,2,12.3,,59.02,1,5.4,0.625,0.506,desktop,gold,0
2,2,11.0,0.189,42.04,2,7.3,0.26,0.776,desktop,silver,0
44,12,21.1,0.042,36.93,0,13.9,0.366,0.357,mobile,bronze,1
79,0,4.8,0.82,5.45,3,4.1,0.671,0.015,mobile,bronze,0
292,0,5.2,0.565,19.79,3,3.2,0.267,0.086,tablet,bronze,0
34,12,17.8,0.236,311.7,0,14.1,0.709,0.356,desktop,silver,0
61,2,8.2,0.448,139.64,2,,0.495,0.186,desktop,gold,0
37,1,9.2,0.711,95.16,0,5.2,0.163,0.074,mobile,bronze,1
50,0,3.1,0.697,62.43,4,1.2,0.902,0.068,desktop,bronze,0
22,9,18.9,0.17,179.43,1,16.2,0.067,0.701,mobile,silver,0
100,7,,0.055,1188.52,0,16.5,0.759,0.499,mobile,gold,0
86,1,6.7,0.871,42.51,3,3.4,0.733,0.239,desktop,gold,1
12,1,0.5,0.415,249.03,2,1.0,0.812,0.016,desktop,silver,1
12,12,21.1,0.268,1017.89,0,13.2,0.21,0.94,mobile,silver,0
88,3,8.5,0.48,35.58,1,,0.378,0.105,mobile,bronze,1
1,7,21.5,0.35,144.73,0,13.3,0.112,0.487,desktop,bronze,1
2,9,29.6,0.255,1011.25,0,11.2,0.199,0.819,desktop,silver,0
20,6,,0.011,61.49,1,,0.274,0.918,desktop,silver,1
16,6,24.0,0.171,167.62,0,9.1,0.067,0.29,desktop,gold,0
102,2,1.8,,23.89,1,2.7,0.302,0.522,mobile,bronze,0
74,3,10.0,0.708,24.44,0,8.3,0.558,0.349,desktop,silver,0
16,1,0.5,,70.18,1,2.8,0.38,0.218,desktop,bronze,0
51,13,19.1,0.157,88.27,0,16.7,0.22,0.955,mobile,gold,0
10,7,20.8,0.1,2020.78,0,13.2,0.097,0.344,tablet,platinum,0
62,0,2.8,0.383,39.55,7,2.4,0.743,0.187,desktop,bronze,1
254,1,1.9,0.623,109.4,3,1.4,0.605,0.103,mobile,gold,1
30,9,7.6,,392.73,0,11.2,0.555,0.285,tablet,bronze,0
14,6,19.4,0.077,1040.02,1,11.8,0.41,0.462,desktop,gold,1
117,0,2.2,0.812,,6,1.0,0.871,0.141,mobile,bronze,0
16,2,2.6,0.732,2.87,4,,0.773,0.045,mobile,silver,0
73,1,5.3,0.889,32.38,2,8.8,0.421,0.266,mobile,platinum,1
27,2,2.7,0.592,,3,,0.77,0.06,mobile,bronze,1
287,1,3.6,0.845,18.87,2,4.3,0.236,0.014,tablet,bronze,1
1,4,21.3,0.293,593.66,0,12.2,0.25,0.828,desktop,silver,0
42,2,10.2,0.168,81.89,1,6.8,0.282,0.228,mobile,silver,0
42,0,2.0,0.752,2.72,4,1.0,0.497,0.15,desktop,silver,1
5,9,18.8,0.466,56.71,0,10.9,0.17,0.673,mobile,gold,0
5,7,22.1,0.456,,0,10.9,0.549,0.599,mobile,bronze,1
77,2,5.2,0.952,5.59,3,,0.439,0.331,tablet,bronze,0
35,5,25.2,0.023,631.66,2,12.3,0.7,0.876,mobile,platinum,0
16,3,13.4,0.447,108.73,0,14.8,0.374,0.706,desktop,gold,1
19,8,17.7,0.22,131.44,0,10.2,0.559,0.92,mobile,bronze,0
12,9,,0.2,60.45,1,8.9,0.643,,tablet,bronze,0
9,8,19.0,0.146,1253.45,0,11.0,0.035,0.901,mobile,gold,0
19,0,5.2,0.94,101.46,4,1.0,0.761,0.109,desktop,bronze,0
10,1,7.9,0.6,36.97,0,6.2,0.279,0.121,mobile,bronze,1
10,6,20.2,0.379,571.83,1,12.9,0.324,0.73,mobile,platinum,0
16,1,4.9,0.696,24.91,4,3.3,0.888,0.215,mobile,bronze,1
27,0,1.8,0.843,116.6,4,2.6,0.781,0.04,mobile,bronze,0
12,10,7.7,0.267,169.33,1,9.2,0.166,0.453,mobile,silver,0
14,8,26.5,0.063,378.4,0,10.3,0.488,0.391,desktop,silver,0
100,2,4.0,0.648,178.76,1,1.6,0.459,0.162,mobile,silver,0
14,8,14.3,0.045,221.73,0,14.2,0.354,0.771,mobile,silver,0
4,2,0.7,0.337,14.33,4,3.5,0.521,0.039,desktop,bronze,1
4,9,9.9,0.344,458.9,0,12.6,0.265,0.538,desktop,gold,0
203,1,2.2,0.697,19.89,3,3.4,0.789,0.367,mobile,bronze,0
28,14,24.4,0.099,642.36,0,14.1,0.377,0.512,mobile,silver,0
11,9,13.2,0.207,152.08,2,15.1,0.113,0.865,desktop,silver,1
44,2,6.4,0.561,68.46,1,5.4,0.622,0.39,desktop,bronze,1
293,0,0.5,0.826,43.13,2,1.0,0.405,0.43,desktop,platinum,1
22,4,21.1,0.084,37.53,0,,0.436,0.966,desktop,silver,0
212,0,0.8,0.789,38.27,3,3.0,0.388,0.191,mobile,silver,1
89,1,7.9,0.519,169.67,2,4.1,0.558,0.052,mobile,bronze,1
43,1,8.9,0.651,44.53,0,5.1,0.587,0.356,mobile,bronze,1
167,1,1.8,0.156,41.52,3,,0.567,0.056,mobile,silver,1
13,11,17.4,0.018,368.05,1,15.2,0.317,,desktop,silver,0
33,2,10.7,0.489,26.48,0,3.5,0.398,0.157,tablet,bronze,0
41,4,16.9,0.05,823.22,1,16.2,0.141,0.789,mobile,platinum,0
3,8,8.1,0.223,939.1,0,6.5,0.396,0.965,tablet,silver,0
38,2,4.1,0.444,25.04,6,3.7,0.41,0.317,tablet,bronze,0
48,0,3.7,0.842,77.48,1,3.9,0.591,0.129,tablet,silver,1
4,2,8.9,0.831,164.94,1,7.6,0.449,0.832,mobile,gold,0
20,4,10.2,0.771,8.26,1,3.3,0.564,,desktop,bronze,0
43,8,27.5,0.294,518.37,0,13.0,0.634,0.849,desktop,gold,0
5,11,23.5,0.03,70.04,2,12.8,0.116,0.509,desktop,silver,0
52,9,21.1,0.105,1096.39,0,14.0,0.399,0.562,tablet,platinum,0
25,5,19.7,0.322,1329.34,1,11.3,0.366,0.507,mobile,platinum,0
146,3,9.2,0.722,3.82,0,5.8,0.231,0.334,desktop,silver,1
13,3,6.8,0.304,12.46,0,9.7,0.388,0.735,desktop,bronze,1
5,9,23.5,0.197,93.86,0,16.6,0.507,0.89,mobile,gold,0
14,9,23.2,0.293,260.56,0,6.4,0.559,0.937,mobile,bronze,0
365,0,2.6,0.956,43.35,2,2.4,0.835,0.146,mobile,bronze,1
123,0,3.9,0.868,225.9,3,5.7,0.586,0.171,desktop,bronze,0
12,1,10.6,0.491,37.28,0,7.1,0.132,0.729,desktop,bronze,1
3,11,8.7,0.182,166.01,1,15.2,0.085,0.663,mobile,platinum,0
56,1,0.6,0.717,,3,3.5,0.829,0.048,mobile,bronze,0
194,1,3.1,0.53,34.9,1,1.0,0.608,,mobile,gold,0
3,7,9.1,0.028,624.73,1,11.0,0.267,0.483,tablet,platinum,0
244,2,2.8,0.783,3.12,2,1.7,0.77,0.137,mobile,bronze,1
23,2,3.4,0.743,35.71,4,1.0,0.648,0.251,desktop,silver,1
74,7,17.6,0.06,326.0,0,12.3,0.261,0.626,mobile,gold,0
8,9,20.4,0.032,1241.19,0,15.2,0.286,0.827,desktop,gold,0
2,10,15.4,0.039,363.03,0,10.6,0.462,0.451,desktop,silver,0
169,1,3.2,0.707,33.08,7,1.0,0.711,0.215,mobile,silver,1
47,5,20.2,0.494,331.34,2,14.8,0.623,,mobile,bronze,0
112,1,4.0,0.934,30.8,3,3.8,0.355,0.278,mobile,bronze,0
19,13,18.3,0.217,1078.43,0,15.2,0.482,0.778,desktop,platinum,0
7,7,11.8,0.209,254.22,0,16.2,0.265,0.753,desktop,bronze,0
15,12,17.4,0.093,2.81,1,9.6,0.633,0.556,mobile,platinum,0
31,4,8.1,0.527,79.15,1,6.6,0.739,0.513,tablet,silver,0
22,14,11.5,0.069,14.69,0,10.1,0.42,0.787,mobile,gold,0
25,9,15.9,0.238,462.62,1,15.5,0.111,0.346,desktop,bronze,0
22,2,3.3,0.908,60.97,5,2.7,0.221,0.129,desktop,bronze,0
6,6,23.3,0.109,809.46,0,14.8,0.075,0.537,desktop,gold,0
61,1,2.4,0.677,101.57,3,1.9,0.525,,mobile,bronze,1
7,0,2.4,0.729,118.73,3,3.0,0.327,,desktop,bronze,1
9,1,13.3,0.551,33.48,0,2.5,0.255,0.359,desktop,bronze,0
31,6,14.9,0.193,1005.75,0,13.0,0.294,0.299,desktop,silver,1
106,2,7.8,,71.02,0,6.3,0.358,0.26,mobile,bronze,1
6,4,16.5,0.288,242.19,0,19.3,0.178,0.671,tablet,bronze,1
14,6,22.6,0.249,1964.22,1,8.5,0.284,0.68,desktop,gold,0
8,8,15.2,0.142,481.2,1,17.7,0.162,0.727,tablet,platinum,0
39,12,20.8,0.247,186.57,0,11.6,0.087,0.737,desktop,silver,0
12,9,10.7,0.211,388.7,0,15.7,0.265,0.92,tablet,silver,0
84,0,6.3,0.66,35.29,0,1.0,0.773,0.133,mobile,bronze,1
17,6,26.3,0.046,983.18,1,8.8,0.043,0.895,desktop,platinum,0
141,1,,0.489,,3,1.0,0.755,0.096,desktop,bronze,1
129,0,0.5,0.644,4.06,3,2.7,0.202,0.115,mobile,bronze,0
35,5,13.5,0.07,406.99,0,12.0,0.089,0.953,tablet,silver,0
55,0,5.6,0.692,,4,3.6,0.803,0.035,tablet,gold,1
306,0,9.4,,78.6,0,6.6,0.314,0.408,tablet,silver,1
47,1,8.6,0.591,70.35,3,8.5,0.228,0.373,desktop,gold,1
38,1,7.7,0.257,45.81,1,3.9,0.572,0.59,desktop,silver,1
7,12,19.1,0.341,482.7,0,12.9,0.118,0.152,desktop,silver,0
151,0,0.5,0.914,26.17,2,4.6,0.29,0.018,mobile,bronze,1
12,2,10.1,0.338,15.74,0,8.9,0.51,0.444,desktop,bronze,1
3,5,23.1,,14.6,0,13.5,0.423,0.546,mobile,bronze,0
18,1,10.3,0.567,13.7,0,6.4,0.213,0.483,desktop,bronze,0
96,4,11.0,0.338,82.66,0,8.5,0.466,0.39,mobile,bronze,0
19,1,14.1,0.384,114.5,0,5.2,0.674,,mobile,bronze,0
58,1,2.4,0.919,22.61,2,1.1,0.539,0.026,mobile,bronze,0
5,7,15.1,0.201,86.42,0,14.6,0.404,0.531,mobile,gold,0
13,3,,0.209,24.13,4,6.3,0.329,0.638,tablet,silver,0
10,6,29.5,0.117,455.45,0,9.5,0.296,0.615,mobile,silver,0
238,2,3.8,0.683,68.19,3,4.7,0.515,0.358,mobile,bronze,1
1,8,31.6,0.209,73.48,0,7.5,0.585,0.922,mobile,silver,0
91,2,8.9,0.193,45.71,0,3.7,0.276,0.279,desktop,gold,1
13,8,23.6,0.474,369.69,0,14.1,0.097,0.713,mobile,platinum,0
41,9,19.4,0.053,455.95,0,14.5,0.603,0.629,mobile,gold,0
252,1,3.1,0.89,104.35,2,1.7,0.878,0.072,mobile,bronze,1
22,9,11.3,0.119,416.43,0,12.2,0.513,0.608,desktop,gold,0
107,1,9.6,0.647,1.34,0,8.4,0.313,0.675,mobile,silver,1
97,1,4.7,0.885,40.57,4,3.4,0.397,,mobile,bronze,0
57,7,20.7,0.305,363.04,0,11.0,0.26,0.294,tablet,gold,1
60,3,5.4,0.172,631.46,1,4.7,0.7,0.172,mobile,bronze,1
1,11,17.8,0.164,1051.26,0,8.4,0.21,0.375,desktop,platinum,0
12,7,21.1,0.189,224.54,0,13.4,0.217,0.45,desktop,gold,1
10,9,18.1,,53.79,0,9.9,0.356,0.391,desktop,platinum,1
7,6,20.4,0.124,19.82,0,10.3,0.212,0.918,desktop,gold,1
43,3,4.4,0.723,22.56,2,1.5,0.903,0.378,mobile,bronze,1
1,1,6.5,0.719,131.29,0,5.8,0.595,0.304,desktop,silver,1
56,1,4.5,0.292,137.62,2,4.2,0.493,0.075,desktop,bronze,0
26,2,5.5,0.115,210.76,1,2.4,0.277,0.248,mobile,bronze,1
83,2,7.8,0.43,2.87,1,5.8,0.399,0.125,desktop,bronze,0
51,6,19.5,0.192,685.28,0,13.3,0.38,0.652,mobile,gold,0
13,7,15.7,0.063,565.1,1,7.9,0.033,0.609,desktop,silver,0
19,9,15.3,0.223,906.9,2,8.0,0.6,0.634,mobile,platinum,0
35,6,15.9,0.187,513.8,0,15.0,0.045,0.691,mobile,silver,1
8,6,14.9,0.093,313.81,0,7.7,0.371,0.705,mobile,silver,1
11,5,19.7,0.081,146.28,0,14.0,0.175,0.671,desktop,platinum,0
165,3,9.9,0.325,22.42,0,5.7,0.454,0.368,desktop,bronze,0
9,6,21.4,0.118,1287.6,1,11.9,0.19,0.864,desktop,platinum,1
51,12,9.0,0.084,56.9,1,18.0,0.317,0.867,tablet,gold,1
266,3,5.7,0.941,2.16,5,4.0,0.497,0.09,mobile,silver,0
2,9,21.5,0.464,156.84,0,11.0,0.386,0.5,desktop,silver,0
148,1,,0.574,4.98,3,2.1,0.534,,desktop,bronze,1
11,5,21.5,0.012,,0,10.2,0.327,,desktop,silver,0
2,11,23.2,0.156,147.82,0,8.5,0.449,0.718,tablet,silver,0
12,0,1.9,,50.24,1,3.9,0.629,0.077,desktop,bronze,0
3,1,14.6,0.059,959.24,0,11.9,0.297,0.665,mobile,gold,0
39,0,0.5,0.431,10.41,3,4.4,0.642,0.322,desktop,silver,0
24,2,4.1,0.442,78.83,4,1.3,0.369,0.018,desktop,silver,0
71,3,12.4,0.541,29.63,0,5.0,0.287,0.06,desktop,bronze,1
22,9,24.2,0.042,6.28,0,7.9,0.088,,tablet,bronze,0
178,0,0.8,0.662,85.33,3,6.1,0.712,0.009,mobile,silver,1
76,7,23.4,,138.61,0,,0.233,,mobile,bronze,1
41,7,7.2,0.132,1289.16,0,12.4,0.094,0.519,desktop,platinum,1
111,2,5.4,0.654,6.07,1,3.2,0.326,0.082,mobile,bronze,0
1,7,21.4,0.251,698.48,0,9.6,0.164,,desktop,silver,0
3,2,0.6,0.556,103.81,2,4.5,0.662,0.086,mobile,bronze,1
183,0,3.4,0.693,1.64,1,3.4,0.618,0.465,mobile,bronze,1
34,8,20.3,0.051,,0,12.7,0.491,0.803,desktop,platinum,0
2,9,15.3,0.014,636.82,0,9.7,0.461,0.562,desktop,platinum,1
123,9,28.2,0.093,472.03,0,8.6,0.226,0.459,mobile,bronze,0
5,6,26.2,0.041,545.76,0,12.8,0.369,0.872,desktop,platinum,0
4,1,4.6,0.53,11.23,0,5.6,0.518,0.515,tablet,silver,0
47,10,15.2,0.034,265.55,0,12.6,0.595,0.608,mobile,silver,0
5,9,,0.103,150.04,0,17.5,0.319,0.328,mobile,silver,1
47,12,22.3,0.136,307.88,1,14.4,0.334,0.687,desktop,bronze,0
269,3,,0.768,5.86,2,1.6,0.825,0.106,mobile,bronze,0
74,11,18.0,0.338,1138.59,1,12.2,0.304,0.699,mobile,platinum,0
114,1,2.1,0.66,6.32,2,,0.457,0.246,desktop,bronze,1
313,0,6.4,0.991,9.32,3,,0.604,0.265,desktop,bronze,1
1,1,6.9,0.81,171.62,0,9.7,0.19,0.545,mobile,bronze,1
11,3,8.9,0.668,71.34,1,6.1,0.727,0.301,mobile,bronze,0
15,8,19.8,0.302,288.71,0,10.4,0.481,0.48,mobile,gold,0
12,8,15.8,0.01,302.81,1,8.7,0.29,0.929,desktop,gold,0
365,2,2.2,0.763,42.89,2,1.7,0.468,0.056,mobile,bronze,0
18,2,1.2,0.645,21.02,2,2.9,0.701,0.188,tablet,bronze,0
104,1,1.1,0.9,20.98,0,4.9,0.329,0.329,desktop,silver,1
16,5,17.6,0.41,360.13,0,12.1,0.594,0.968,mobile,gold,0
5,7,18.2,0.018,302.68,1,12.2,0.086,0.487,desktop,gold,0
62,8,14.7,0.038,20.7,2,14.1,0.059,,desktop,gold,0
365,2,,0.674,31.77,7,6.4,0.382,0.076,mobile,platinum,1
15,2,13.2,0.663,2.31,0,,0.65,,mobile,gold,1
5,3,11.8,0.027,2141.43,0,7.9,0.427,0.599,mobile,silver,0
10,7,18.6,0.351,,1,9.7,0.096,0.647,mobile,platinum,0
5,16,20.1,0.214,310.47,0,4.8,0.428,0.7,mobile,bronze,0
13,7,19.9,0.007,254.93,0,20.4,0.202,0.925,mobile,platinum,1
85,0,5.3,0.741,22.04,0,3.9,0.508,0.062,mobile,bronze,1
24,16,12.0,0.001,85.28,0,10.9,0.13,0.893,desktop,silver,0
17,8,20.2,0.187,617.06,0,8.7,0.537,0.419,desktop,gold,0
10,0,5.0,0.739,36.66,5,2.6,0.782,0.035,mobile,bronze,0
43,2,0.9,0.801,45.15,2,4.9,0.371,0.07,mobile,bronze,0
365,1,1.5,0.954,38.3,1,3.1,0.506,0.063,desktop,bronze,1
347,2,7.0,0.834,59.08,4,3.1,0.586,0.003,mobile,silver,1
2,3,6.9,0.532,25.65,1,8.3,0.286,0.101,mobile,bronze,0
10,7,10.5,0.51,81.54,0,10.1,0.24,0.506,mobile,platinum,0
8,10,17.2,0.209,738.04,0,9.5,0.185,0.622,desktop,gold,0
1,0,1.7,0.707,14.41,2,3.4,0.656,0.083,mobile,bronze,0
2,7,15.4,0.127,340.4,0,8.5,0.167,0.611,mobile,platinum,0
16,7,24.9,0.189,757.22,0,10.1,0.768,0.7,desktop,bronze,0
11,0,1.9,0.689,27.08,2,1.3,0.708,0.172,mobile,bronze,0
24,2,18.7,0.09,16.03,0,13.4,0.097,0.681,mobile,platinum,0
47,9,19.8,0.104,109.73,0,9.3,0.103,0.551,desktop,silver,1
11,6,18.2,0.07,299.67,1,12.5,0.178,0.234,desktop,gold,1
13,6,22.6,0.125,23.62,0,5.0,0.404,0.605,mobile,gold,0
35,0,3.8,0.744,90.3,0,5.1,0.358,0.485,tablet,gold,0
14,5,10.5,0.017,210.58,0,14.7,0.173,0.735,desktop,platinum,0
13,8,20.9,0.144,64.81,0,10.0,0.077,0.667,mobile,gold,1
17,6,12.0,0.182,1899.85,1,10.9,0.382,0.804,desktop,gold,0
40,3,0.5,0.385,12.7,3,4.1,0.313,0.345,desktop,bronze,0
2,7,23.7,0.269,46.15,0,14.6,0.103,0.616,tablet,silver,1
92,0,4.4,0.506,,2,3.6,0.802,0.13,tablet,bronze,1
